"","sample_barcode","collection_label","project","site_code","site_name","collection_date","accessioned","sample_type","habitat","host","trophic","site_type","metadata","lat","long","empo_1","empo_2","empo_3","PI","Processing","common_name","family","genus","species","taxonomy_info","photo","photo.notes"
"11",12,"DicotLeafC-1","Keck","01","Entrance","20180306","Yes","DicotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","Rivina humilis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Phytolaccaceae","Rivina","humilis","","N",NA
"12",13,"DicotSwabA-1","Keck","01","Entrance","20180306","Yes","DicotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","Stachytarpheta cayennensis",21.6336,-158.05209,"Host-associated","Plant","Plant surface","Anthony",NA,"Dicot Plant","Verbenaceae","Stachytarpheta","cayennensis","","N",NA
"13",14,"DicotSwabB-1","Keck","01","Entrance","20180306","Yes","DicotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.6336,-158.05209,"Host-associated","Plant","Plant surface","Anthony",NA,"Dicot Plant","Rubiaceae","Coffea","arabica","","N",NA
"14",15,"DicotSwabC-1","Keck","01","Entrance","20180306","Yes","DicotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","Rivina humilis",21.6336,-158.05209,"Host-associated","Plant","Plant surface","Anthony",NA,"Dicot Plant","Phytolaccaceae","Rivina","humilis","","N",NA
"15",16,"DicotStemA-1","Keck","01","Entrance","20180306","Yes","DicotStem","Terrestrial","Plant","PrimaryProducer","Core Waimea","Stachytarpheta cayennensis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Verbenaceae","Stachytarpheta","cayennensis","","N",NA
"16",17,"DicotStemB-1","Keck","01","Entrance","20180306","Yes","DicotStem","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","N",NA
"17",18,"DicotStemC-1","Keck","01","Entrance","20180306","Yes","DicotStem","Terrestrial","Plant","PrimaryProducer","Core Waimea","Rivina humilis",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Phytolaccaceae","Rivina","humilis","","N",NA
"18",19,"DicotRootA-1","Keck","01","Entrance","20180306","Yes","DicotRoot","Terrestrial","Plant","PrimaryProducer","Core Waimea","Stachytarpheta cayennensis",21.6336,-158.05209,"Host-associated","Plant","Plant rhizosphere","Nicole","Freeze Dry","Dicot Plant","Verbenaceae","Stachytarpheta","cayennensis","","N",NA
"19",20,"DicotRootB-1","Keck","01","Entrance","20180306","Yes","DicotRoot","Terrestrial","Plant","PrimaryProducer","Core Waimea","Aleurites moluccanus",21.6336,-158.05209,"Host-associated","Plant","Plant rhizosphere","Nicole","Freeze Dry","Dicot Plant","Euphorbiaceae","Aleurites","moluccanus","","N",NA
"20",21,"DicotRootC-1","Keck","01","Entrance","20180306","Yes","DicotRoot","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.6336,-158.05209,"Host-associated","Plant","Plant rhizosphere","Nicole","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","N",NA
"21",22,"MonocotLeafA-1","Keck","01","Entrance","20180306","Yes","MonocotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"22",23,"MonocotLeafB-1","Keck","01","Entrance","20180306","Yes","MonocotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"23",24,"MonocotLeafC-1","Keck","01","Entrance","20180306","Yes","MonocotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"24",25,"MonocotSwabA-1","Keck","01","Entrance","20180306","Yes","MonocotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant surface","Anthony",NA,"Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"25",26,"MonocotSwabB-1","Keck","01","Entrance","20180306","Yes","MonocotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant surface","Anthony",NA,"Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"26",27,"MonocotSwabC-1","Keck","01","Entrance","20180306","Yes","MonocotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant surface","Anthony",NA,"Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"27",28,"MonocotFruitA-1","Keck","01","Entrance","20180306","Yes","MonocotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"28",29,"MonocotFruitB-1","Keck","01","Entrance","20180306","Yes","MonocotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"29",30,"MonocotFruit-1","Keck","01","Entrance","20180306","Yes","MonocotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"30",31,"MonocotFlower-1","Keck","01","Entrance","20180306","Yes","MonocotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"31",32,"MonocotFlowerB-1","Keck","01","Entrance","20180306","Yes","MonocotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"32",33,"MonocotFlowerC-1","Keck","01","Entrance","20180306","Yes","MonocotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID Voucher",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Monocot Plant",NA,NA,NA,"what kind of monocot?","N",NA
"33",34,"RockSwab1-1","Keck","01","Entrance","20180306","Yes","RockSwab","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Surface (non-saline)","Anthony",NA,"RockSwab",NA,NA,NA,NA,NA,NA
"34",35,"RockSwab2-1","Keck","01","Entrance","20180306","Yes","RockSwab","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Surface (non-saline)","Anthony",NA,"RockSwab",NA,NA,NA,NA,NA,NA
"35",36,"RockSwab3-1","Keck","01","Entrance","20180306","Yes","RockSwab","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Surface (non-saline)","Anthony",NA,"RockSwab",NA,NA,NA,NA,NA,NA
"36",45,"030718_MEDE_0016_CMAIKI","Keck","01","Entrance","20180307","Yes","BirdSkinSwab","Terrestrial","Animal","Omnivore","Core Waimea","Leiothrix lutea 1 F",21.6336,-158.05209,"Host-associated","Animal","Animal surface","Matt",NA,"Bird","Leiothrichidae","Leiothrix","lutea","","N",NA
"37",46,"030718_MEDE_0017_CMAIKI","Keck","01","Entrance","20180307","Yes","BirdSkinSwab","Terrestrial","Animal","Omnivore","Core Waimea","Leiothrix lutea 1 F",21.6336,-158.05209,"Host-associated","Animal","Animal surface","Matt",NA,"Bird","Leiothrichidae","Leiothrix","lutea","","N",NA
"38",50,"030618_MEDE_0001_CMAIKI","Keck","01","Entrance","20180306","Yes","Mosquito","Terrestrial","Animal","Carnivore","Core Waimea","Aedes albopictus 9 F",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Matt",NA,"Mosquito","Culicidae","Aedes","albopictus","","N",NA
"39",51,"030618_MEDE_0002_CMAIKI","Keck","01","Entrance","20180306","Yes","Mosquito","Terrestrial","Animal","Carnivore","Core Waimea","Aedes albopictus 5 M",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Matt",NA,"Mosquito","Culicidae","Aedes","albopictus","","N",NA
"40",52,"030618_MEDE_0003_CMAIKI","Keck","01","Entrance","20180306","Yes","Mosquito","Terrestrial","Animal","Carnivore","Core Waimea","Wyeomyia mitchelli 10 F",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Matt",NA,"Mosquito","Culicidae","Wyeomyia","mitchellii","","N",NA
"41",53,"030618_MEDE_0004_CMAIKI","Keck","01","Entrance","20180306","Yes","Mosquito","Terrestrial","Animal","Carnivore","Core Waimea","Wyeomyia mitchelli 5 F",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Matt",NA,"Mosquito","Culicidae","Wyeomyia","mitchellii","","N",NA
"42",54,"MossA-1","Keck","01","Entrance","20180306","Yes","MossThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Moss",NA,NA,NA,"what kind of moss?","N",NA
"43",55,"MossB-1","Keck","01","Entrance","20180306","Yes","MossThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Moss",NA,NA,NA,"what kind of moss?","N",NA
"44",56,"MossC-1","Keck","01","Entrance","20180306","Yes","MossThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Moss",NA,NA,NA,"what kind of moss?","N",NA
"45",57,"FernA-1","Keck","01","Entrance","20180306","Yes","FernThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Fern",NA,NA,NA,"what kind of fern?","N",NA
"46",58,"FernB-1","Keck","01","Entrance","20180306","Yes","FernThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Fern",NA,NA,NA,"what kind of fern?","N",NA
"47",59,"FernC-1","Keck","01","Entrance","20180306","Yes","FernThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Fern",NA,NA,NA,"what kind of fern?","N",NA
"48",60,"LichenA-1","Keck","01","Entrance","20180306","Yes","LichenThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","Parmelia sp.",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Lichen","Parmeliaceae","Parmelia",NA,"ask for species help","N",NA
"49",61,"LichenB-1","Keck","01","Entrance","20180306","Yes","LichenThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","need ID No photo",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Lichen",NA,NA,NA,"what kind of lichen?","N",NA
"50",62,"LichenC-1","Keck","01","Entrance","20180306","Yes","LichenThallus","Terrestrial","Plant","PrimaryProducer","Core Waimea","Ramalina sp.",21.6336,-158.05209,"Host-associated","Plant","Plant corpus","Nicole","Freeze Dry","Lichen","Ramalinaceae","Ramalina",NA,"ask for species help","N",NA
"51",63,"LitterArthroB-1-2","Keck","01","Entrance","20180306","No","LitterArthro","Terrestrial","Animal","Multiple","Core Waimea","Lawn shrimp",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Lawn Shrimp","Talitridae","Arcitalitrus","sylvaticus","","N",NA
"52",64,"LitterArthroC-1-1","Keck","01","Entrance","20180306","No","LitterArthro","Terrestrial","Animal","Multiple","Core Waimea","Roly poly, C-1-1",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Sowbug",NA,NA,NA,"what kind of roly poly?","N",NA
"53",65,"LitterArthroC-1-2","Keck","01","Entrance","20180306","No","LitterArthro","Terrestrial","Animal","Multiple","Core Waimea","Lawn shrimp, C-1-2",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Lawn Shrimp","Talitridae","Arcitalitrus","sylvaticus","","N",NA
"54",66,"FruitFeederA-1","Keck","01","Entrance","20180306","No","FruitFeeder","Terrestrial","Animal","Herbivore","Core Waimea",NA,21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"Fruit Fly",NA,NA,NA,"what kind of organism?","N",NA
"55",67,"EmergenceA-1","Keck","01","Entrance","20180306","No","EmergenceChamber","Terrestrial","Animal","Herbivore","Core Waimea","Emergence chamber filled at site",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"EmergenceChamber",NA,NA,NA,NA,NA,NA
"56",68,"EmergenceB-1","Keck","01","Entrance","20180306","No","EmergenceChamber","Terrestrial","Animal","Herbivore","Core Waimea","Emergence chamber filled at site",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"EmergenceChamber",NA,NA,NA,NA,NA,NA
"57",69,"EmergenceC-1","Keck","01","Entrance","20180306","No","EmergenceChamber","Terrestrial","Animal","Herbivore","Core Waimea","Emergence chamber filled at site",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"EmergenceChamber",NA,NA,NA,NA,NA,NA
"58",71,"LeafArthroB-1","Keck","01","Entrance","20180306","No","LeafArthropod","Terrestrial","Animal","Herbivore","Core Waimea",NA,21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"Grasshopper",NA,NA,NA,"what kind of organism?","N",NA
"59",72,"LeafArthroC-1","Keck","01","Entrance","20180306","No","LeafArthropod","Terrestrial","Animal","Herbivore","Core Waimea",NA,21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"Grasshopper",NA,NA,NA,"what kind of organism?","N",NA
"60",73,"030618_MEDE_0005_CMAIKI","Keck","01","Entrance","20180306","Yes","LeafArthropod","Terrestrial","Animal","Herbivore","Core Waimea","Collected 3",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"Grasshopper",NA,NA,NA,"what kind of coral?","N",NA
"61",74,"Malaise-1","Keck","01","Entrance","20180319","No","MalaiseArthropod","Terrestrial","Animal","Multiple","Core Waimea","Deployed for 72 hrs",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"MalaiseArthropod",NA,NA,NA,NA,NA,NA
"62",75,"FlightIntercept-1","Keck","01","Entrance","20180319","No","FlightInterceptArthropod","Terrestrial","Animal","Multiple","Core Waimea","Deployed for 72 hrs",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu",NA,"FlightInterceptArthropod",NA,NA,NA,NA,NA,NA
"63",76,"LitterArthroA-1-9","Keck","01","Entrance","20180306","No","LitterArthro","Terrestrial","Animal","Multiple","Core Waimea","Roly poly, A-1-9",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Sowbug",NA,NA,NA,"what kind of roly poly?","N",NA
"64",77,"LitterArthroA-1-8","Keck","01","Entrance","20180306","No","LitterArthro","Terrestrial","Animal","Multiple","Core Waimea","Lawn shrimp, A-1-8",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Lawn Shrimp","Talitridae","Arcitalitrus","sylvaticus","","N",NA
"65",78,"LitterArthroB-1-1","Keck","01","Entrance","20180306","No","LitterArthro","Terrestrial","Animal","Multiple","Core Waimea","Roly poly, B-1-1",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Sowbug",NA,NA,NA,"what kind of roly poly?","N",NA
"66",79,"SoilShallowA-1","Keck","01","Entrance","20180306","Yes","SoilShallow","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilShallow",NA,NA,NA,NA,NA,NA
"67",80,"SoilShallowB-1","Keck","01","Entrance","20180306","Yes","SoilShallow","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilShallow",NA,NA,NA,NA,NA,NA
"68",81,"SoilShallowC-1","Keck","01","Entrance","20180306","Yes","SoilShallow","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilShallow",NA,NA,NA,NA,NA,NA
"69",82,"SoilMiddleA-1","Keck","01","Entrance","20180306","Yes","SoilMiddle","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilMiddle",NA,NA,NA,NA,NA,NA
"70",83,"SoilMiddleB-1","Keck","01","Entrance","20180306","Yes","SoilMiddle","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilMiddle",NA,NA,NA,NA,NA,NA
"71",84,"SoilMiddleC-1","Keck","01","Entrance","20180306","Yes","SoilMiddle","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilMiddle",NA,NA,NA,NA,NA,NA
"72",85,"SoilDeepA-1","Keck","01","Entrance","20180306","Yes","SoilDeep","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilDeep",NA,NA,NA,NA,NA,NA
"73",86,"SoilDeepB-1","Keck","01","Entrance","20180306","Yes","SoilDeep","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilDeep",NA,NA,NA,NA,NA,NA
"74",87,"SoilDeepC-1","Keck","01","Entrance","20180306","Yes","SoilDeep","Terrestrial","Nonhost","Environmental","Core Waimea",NA,21.6336,-158.05209,"Free-living","Non-saline","Soil (non-saline)","Nhu","Weigh","SoilDeep",NA,NA,NA,NA,NA,NA
"75",89,"DicotFlowerA-2","Keck","02","Confluence","20180410","Yes","DicotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","Brunfelsia maliformis",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Solanaceae","Brunfelsia","maliformis","","DicotA_Site2_2.JPG","1 other photo available"
"76",90,"DicotFlowerB-2","Keck","02","Confluence","20180410","Yes","DicotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","Clarija eurganea",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant",NA,"Clarija","eurganea","can't find this name online","DicotB_Site2_1.JPG","1 other photo available"
"77",91,"DicotFlowerC-2","Keck","02","Confluence","20180410","Yes","DicotFlower","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","DicotC_Site2_3.JPG","2 other photos available"
"78",92,"DicotFruitA-2","Keck","02","Confluence","20180410","Yes","DicotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","Brunfelsia sp.",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Solanaceae","Brunfelsia",NA,"ask for species help","DicotA_Fruit_Site2_1.JPG","4 other photos available"
"79",94,"DicotFruitC-2","Keck","02","Confluence","20180410","Yes","DicotFruit","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","DicotC_Site2_3.JPG","2 other photos available"
"80",95,"DicotLeafA-2","Keck","02","Confluence","20180410","Yes","DicotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","Brunfelsia maliformis",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Solanaceae","Brunfelsia","maliformis","","DicotA_Fruit_Site2_1.JPG","4 other photos available"
"81",96,"DicotLeafB-2","Keck","02","Confluence","20180410","Yes","DicotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","Clarija eurganea",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant",NA,"Clarija","eurganea","can't find this name online","DicotB_Site2_1.JPG","1 other photo available"
"82",97,"DicotLeafC-2","Keck","02","Confluence","20180410","Yes","DicotLeaf","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","DicotC_Site2_3.JPG","2 other photos available"
"83",98,"DicotSwabA-2","Keck","02","Confluence","20180410","Yes","DicotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","Brunfelsia maliformis",21.63094,-158.04771,"Host-associated","Plant","Plant surface","Anthony",NA,"Dicot Plant","Solanaceae","Brunfelsia","maliformis","","DicotA_Fruit_Site2_1.JPG","4 other photos available"
"84",99,"DicotSwabB-2","Keck","02","Confluence","20180410","Yes","DicotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","Clarija eurganea",21.63094,-158.04771,"Host-associated","Plant","Plant surface","Anthony",NA,"Dicot Plant",NA,"Clarija","eurganea","can't find this name online","DicotB_Site2_1.JPG","1 other photo available"
"85",100,"DicotSwabC-2","Keck","02","Confluence","20180410","Yes","DicotLeafSwab","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.63094,-158.04771,"Host-associated","Plant","Plant surface","Anthony",NA,"Dicot Plant","Rubiaceae","Coffea","arabica","","DicotC_Site2_3.JPG","2 other photos available"
"86",101,"DicotStemA-2","Keck","02","Confluence","20180410","Yes","DicotStem","Terrestrial","Plant","PrimaryProducer","Core Waimea","Brunfelsia maliformis",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Solanaceae","Brunfelsia","maliformis","","DicotA_Fruit_Site2_1.JPG","4 other photos available"
"87",102,"DicotStemB-2","Keck","02","Confluence","20180410","Yes","DicotStem","Terrestrial","Plant","PrimaryProducer","Core Waimea","Clarija eurganea",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant",NA,"Clarija","eurganea","can't find this name online","DicotB_Site2_1.JPG","1 other photo available"
"88",103,"DicotStemC-2","Keck","02","Confluence","20180410","Yes","DicotStem","Terrestrial","Plant","PrimaryProducer","Core Waimea","Coffea arabica",21.63094,-158.04771,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Dicot Plant","Rubiaceae","Coffea","arabica","","DicotC_Site2_3.JPG","2 other photos available"
"89",104,"DicotRootA-2","Keck","02","Confluence","20180410","Yes","DicotRoot","Terrestrial","Plant","PrimaryProducer","Core Waimea","Brunfelsia maliformis",21.63094,-158.04771,"Host-associated","Plant","Plant rhizosphere","Nicole","Freeze Dry","Dicot Plant","Solanaceae","Brunfelsia","maliformis","","DicotA_Fruit_Site2_1.JPG","4 other photos available"
"90",105,"DicotRootB-2","Keck","02","Confluence","20180410","Yes","DicotRoot","Terrestrial","Plant","PrimaryProducer","Core Waimea","Clarija eurganea",21.63094,-158.04771,"Host-associated","Plant","Plant rhizosphere","Nicole","Freeze Dry","Dicot Plant",NA,"Clarija","eurganea","can't find this name online","DicotB_Site2_1.JPG","1 other photo available"
